Date,Open,High,Low,Close,Adj Close,Volume
2021-10-13,106.23999786376953,106.41999816894531,104.83000183105469,105.81999969482422,102.80583953857422,525000
2021-10-14,106.87999725341797,108.45999908447266,106.80000305175781,108.41000366210938,105.32207489013672,430900
2021-10-15,109.2300033569336,110.22000122070312,108.83000183105469,108.94999694824219,105.84668731689453,502200
2021-10-18,108.63999938964844,110.63999938964844,108.12000274658203,110.37000274658203,107.22624969482422,589300
2021-10-19,109.81999969482422,110.5,108.94000244140625,109.22000122070312,106.10899353027344,661000
2021-10-20,108.75,109.27999877929688,107.19999694824219,109.25,106.13814544677734,606100
2021-10-21,109.20999908447266,110.66000366210938,108.5999984741211,110.66000366210938,107.50799560546875,630700
2021-10-22,111.3499984741211,113.69999694824219,110.73999786376953,112.62999725341797,109.42186737060547,788900
2021-10-25,113.16000366210938,114.9800033569336,111.91000366210938,112.52999877929688,109.32471466064453,700100
2021-10-26,112.73999786376953,113.41000366210938,111.5199966430664,111.80000305175781,108.61552429199219,597200
2021-10-27,111.51000213623047,111.97000122070312,109.7699966430664,109.93000030517578,106.79877471923828,759600
2021-10-28,110.44999694824219,112.76000213623047,110.1500015258789,112.37999725341797,109.17899322509766,583500
2021-10-29,112.02999877929688,113.58000183105469,111.86000061035156,113.06999969482422,109.84933471679688,626500
2021-11-01,113.55000305175781,114.48999786376953,113.19999694824219,114.2300033569336,110.9762954711914,498600
2021-11-02,114.44999694824219,115.0,113.47000122070312,114.73999786376953,111.47176361083984,602900
2021-11-03,114.16999816894531,116.56999969482422,113.93000030517578,116.54000091552734,113.22050476074219,867700
2021-11-04,117.11000061035156,120.01000213623047,117.04000091552734,119.56999969482422,116.16419219970703,1029100
2021-11-05,120.11000061035156,120.83000183105469,117.7699966430664,118.76000213623047,115.37726593017578,666900
2021-11-08,119.44000244140625,119.75,117.37999725341797,118.31999969482422,114.94979858398438,597500
2021-11-09,118.05000305175781,119.56999969482422,117.23999786376953,117.44000244140625,114.09486389160156,601500
2021-11-10,117.0,117.91000366210938,115.83999633789062,116.22000122070312,112.90961456298828,613400
2021-11-11,116.19999694824219,117.62999725341797,115.83000183105469,117.58999633789062,114.24059295654297,533700
2021-11-12,117.63999938964844,117.91000366210938,116.7300033569336,116.87000274658203,113.54109954833984,396600
2021-11-15,117.25,117.25,115.79000091552734,116.54000091552734,113.22050476074219,369800
2021-11-16,116.29000091552734,119.16000366210938,116.29000091552734,117.7300033569336,114.37661743164062,723900
2021-11-17,117.08000183105469,117.5,115.56999969482422,116.38999938964844,113.07476806640625,628000
2021-11-18,116.9800033569336,117.68000030517578,115.97000122070312,117.08000183105469,113.7451171875,510100
2021-11-19,116.94000244140625,118.91000366210938,116.94000244140625,117.73999786376953,114.38631439208984,812600
2021-11-22,118.12000274658203,118.87999725341797,117.36000061035156,117.98999786376953,114.62920379638672,522600
2021-11-23,117.12999725341797,117.55999755859375,115.6500015258789,117.55000305175781,114.57071685791016,632500
2021-11-24,117.27999877929688,118.27999877929688,116.76000213623047,117.91000366210938,114.92159271240234,988900
2021-11-26,115.76000213623047,116.87999725341797,113.7699966430664,114.56999969482422,111.6662368774414,480000
2021-11-29,116.12999725341797,116.27999877929688,113.62999725341797,114.76000213623047,111.8514404296875,608500
2021-11-30,113.62000274658203,114.02999877929688,110.13999938964844,111.16999816894531,108.3524169921875,2087500
2021-12-01,113.29000091552734,113.37999725341797,108.0199966430664,108.0199966430664,105.28225708007812,993700
2021-12-02,108.31999969482422,111.81999969482422,108.01000213623047,111.37000274658203,108.54735565185547,2207000
2021-12-03,111.83000183105469,112.16999816894531,106.58000183105469,107.6500015258789,104.921630859375,1094900
2021-12-06,108.86000061035156,109.23999786376953,107.0999984741211,107.56999969482422,104.84365844726562,1128000
2021-12-07,108.9000015258789,109.80999755859375,108.31999969482422,109.26000213623047,106.49082946777344,778200
2021-12-08,109.80999755859375,110.30999755859375,108.73999786376953,109.9000015258789,107.11460876464844,644300
2021-12-09,109.54000091552734,110.27999877929688,107.98999786376953,108.02999877929688,105.29199981689453,751600
2021-12-10,108.69999694824219,109.8499984741211,107.55999755859375,109.55000305175781,106.77348327636719,1158000
2021-12-13,109.55000305175781,109.83999633789062,106.93000030517578,107.55000305175781,104.82416534423828,799300
2021-12-14,107.37000274658203,108.66000366210938,105.66999816894531,106.48999786376953,103.79103088378906,979300
2021-12-15,106.94999694824219,108.66000366210938,106.37999725341797,108.55000305175781,105.798828125,913300
2021-12-16,109.08000183105469,110.22000122070312,107.06999969482422,107.63999938964844,104.9118881225586,652200
2021-12-17,106.80000305175781,107.38999938964844,105.43000030517578,106.51000213623047,103.81051635742188,1395000
2021-12-20,105.3499984741211,106.23999786376953,103.94999694824219,106.02999877929688,103.34268188476562,817100
2021-12-21,106.83999633789062,108.19000244140625,106.06999969482422,107.72000122070312,104.98986053466797,634100
2021-12-22,107.61000061035156,108.2300033569336,107.05999755859375,108.19000244140625,105.44793701171875,403100
2021-12-23,108.27999877929688,109.5999984741211,108.27999877929688,109.20999908447266,106.44209289550781,317400
2021-12-27,109.37999725341797,111.62000274658203,109.30000305175781,111.4800033569336,108.6545639038086,235400
2021-12-28,111.44000244140625,112.26000213623047,111.18000030517578,111.56999969482422,108.7422866821289,228800
2021-12-29,111.44000244140625,112.47000122070312,111.44000244140625,112.20999908447266,109.36605072021484,268400
2021-12-30,112.20999908447266,112.75,111.30000305175781,111.37000274658203,108.54735565185547,350900
2021-12-31,111.0999984741211,111.9800033569336,110.73999786376953,111.5199966430664,108.69355010986328,344400
2022-01-03,111.62999725341797,112.55999755859375,109.02999877929688,109.44999694824219,106.6760025024414,436600
2022-01-04,110.2300033569336,112.16000366210938,110.2300033569336,112.1500015258789,109.30758666992188,818200
2022-01-05,111.83999633789062,113.4800033569336,111.08999633789062,112.0,109.16138458251953,1061600
2022-01-06,112.44000244140625,113.79000091552734,111.68000030517578,113.04000091552734,110.17501831054688,770800
2022-01-07,111.83999633789062,111.9000015258789,107.93000030517578,110.0,107.21207427978516,1497300
2022-01-10,108.9800033569336,110.5199966430664,107.19000244140625,110.3499984741211,107.55319213867188,1173600
2022-01-11,110.7300033569336,111.0,108.4000015258789,110.1500015258789,107.35826873779297,983200
2022-01-12,110.79000091552734,112.26000213623047,109.7699966430664,111.06999969482422,108.25495147705078,803800
2022-01-13,111.36000061035156,113.41999816894531,111.36000061035156,112.3499984741211,109.50251007080078,656800
2022-01-14,111.41000366210938,114.51000213623047,111.20999908447266,114.37999725341797,111.4810562133789,1173800
2022-01-18,113.83999633789062,114.2699966430664,110.87999725341797,112.05999755859375,109.21986389160156,864100
2022-01-19,112.26000213623047,112.52999877929688,110.68000030517578,110.73999786376953,107.93331146240234,1383700
